Date, Open, High, Low, Close
04/21/23, 3.731, 3.767, 3.686, 3.741
04/20/23, 3.819, 3.840, 3.716, 3.731
04/19/23, 3.673, 3.843, 3.673, 3.819
04/18/23, 3.590, 3.692, 3.590, 3.673
04/17/23, 3.585, 3.611, 3.535, 3.590
04/14/23, 3.487, 3.600, 3.460, 3.585
04/13/23, 3.482, 3.539, 3.428, 3.487
04/12/23, 3.472, 3.546, 3.332, 3.482
04/11/23, 3.357, 3.487, 3.357, 3.472
04/10/23, 3.357, 3.357, 3.357, 3.357
04/07/23, 3.357, 3.357, 3.357, 3.357
04/06/23, 3.340, 3.375, 3.276, 3.357
04/05/23, 3.367, 3.493, 3.326, 3.340
04/04/23, 3.414, 3.482, 3.349, 3.367
04/03/23, 3.451, 3.563, 3.371, 3.414
03/31/23, 3.471, 3.553, 3.425, 3.451
03/30/23, 3.409, 3.492, 3.351, 3.471
03/29/23, 3.386, 3.494, 3.323, 3.409
03/28/23, 3.311, 3.446, 3.311, 3.386
03/27/23, 3.215, 3.419, 3.215, 3.311
03/24/23, 3.289, 3.289, 3.003, 3.215
03/23/23, 3.492, 3.492, 3.268, 3.289
03/22/23, 3.285, 3.584, 3.285, 3.492
03/21/23, 3.248, 3.334, 3.248, 3.285
03/20/23, 3.252, 3.262, 3.093, 3.248
03/17/23, 3.434, 3.434, 3.147, 3.252
03/16/23, 3.310, 3.441, 3.207, 3.434
03/15/23, 3.486, 3.560, 3.228, 3.310
03/14/23, 3.388, 3.610, 3.374, 3.486
03/13/23, 3.648, 3.648, 3.175, 3.388
03/10/23, 3.826, 3.826, 3.550, 3.648
03/09/23, 3.797, 3.865, 3.771, 3.826
03/08/23, 3.816, 3.894, 3.746, 3.797
03/07/23, 3.794, 3.884, 3.745, 3.816
03/06/23, 3.723, 3.805, 3.686, 3.794
03/03/23, 3.692, 3.764, 3.671, 3.723
03/02/23, 3.662, 3.711, 3.617, 3.692
03/01/23, 3.682, 3.785, 3.583, 3.662
02/28/23, 3.675, 3.775, 3.641, 3.682
02/27/23, 3.626, 3.705, 3.572, 3.675
02/24/23, 3.513, 3.649, 3.505, 3.626
02/23/23, 3.509, 3.611, 3.497, 3.513
02/22/23, 3.519, 3.617, 3.493, 3.509
