"Date","Price","Open","High","Low","Change %"
"17/03/2023","4.067","4.067","4.067","4.067","-0.20%"
"16/03/2023","4.075","4.084","4.084","4.075","-0.22%"
"15/03/2023","4.084","4.101","4.101","4.084","-3.61%"
"14/03/2023","4.237","4.237","4.237","4.237","3.09%"
"13/03/2023","4.110","4.181","4.181","4.110","-1.53%"
"10/03/2023","4.174","4.186","4.186","4.174","-0.26%"
"09/03/2023","4.185","4.190","4.190","4.185","-0.88%"
"08/03/2023","4.222","4.180","4.222","4.180","1.73%"
"07/03/2023","4.150","4.150","4.150","4.150","-0.10%"
"06/03/2023","4.154","4.140","4.154","4.140","0.27%"
"03/03/2023","4.143","4.130","4.143","4.130","1.64%"
"02/03/2023","4.076","4.113","4.113","4.076","-1.00%"
"01/03/2023","4.117","4.109","4.117","4.109","0.71%"
"28/02/2023","4.088","4.076","4.088","4.076","0.76%"
"27/02/2023","4.057","3.871","4.057","3.871","4.37%"
"24/02/2023","3.887","3.887","3.887","3.887","-1.99%"
"23/02/2023","3.966","3.966","3.966","3.966","-1.07%"
"22/02/2023","4.009","4.038","4.038","4.009","-0.52%"
"21/02/2023","4.030","4.010","4.030","4.010","0.65%"
"20/02/2023","4.004","3.999","4.004","3.990","-0.17%"
"17/02/2023","4.011","3.994","4.011","3.994","0.93%"
"16/02/2023","3.974","3.987","3.987","3.974","-0.65%"
"15/02/2023","4.000","4.013","4.013","4.000","-0.25%"
"14/02/2023","4.010","3.997","4.010","3.997","0.12%"
"13/02/2023","4.005","3.983","4.005","3.983","0.68%"
"10/02/2023","3.978","3.978","3.978","3.978","-0.69%"
"09/02/2023","4.005","4.005","4.005","4.005","0.21%"
"08/02/2023","3.997","3.997","3.997","3.997","0.58%"
"07/02/2023","3.974","3.982","3.982","3.974","0.00%"
"06/02/2023","3.974","3.992","3.992","3.974","-0.63%"
"03/02/2023","3.999","3.974","3.999","3.974","1.99%"
"02/02/2023","3.921","3.925","3.925","3.921","-0.98%"
"01/02/2023","3.960","3.948","3.960","3.948","0.38%"
