"Date","Price","Open","High","Low","Vol.","Change %"
"22/06/2023","1,359.00","1,362.40","1,362.40","1,337.00","5.17M","-0.93%"
"21/06/2023","1,371.80","1,348.80","1,376.80","1,345.40","7.38M","0.75%"
"20/06/2023","1,361.60","1,346.00","1,371.00","1,346.00","13.87M","0.72%"
"19/06/2023","1,351.80","1,370.40","1,380.40","1,348.60","3.66M","-0.94%"
"16/06/2023","1,364.60","1,376.20","1,390.84","1,356.20","20.28M","-0.74%"
"15/06/2023","1,374.80","1,361.60","1,385.60","1,360.40","22.28M","0.84%"
"14/06/2023","1,363.40","1,365.80","1,376.20","1,359.20","3.56M","-0.23%"
"13/06/2023","1,366.60","1,372.60","1,374.40","1,361.20","10.01M","-0.52%"
"12/06/2023","1,373.80","1,391.60","1,392.36","1,369.88","3.86M","-0.30%"
"09/06/2023","1,378.00","1,386.00","1,386.00","1,368.60","3.95M","0.20%"
"08/06/2023","1,375.20","1,375.00","1,383.80","1,369.40","3.03M","-0.07%"
"07/06/2023","1,376.20","1,386.40","1,400.00","1,372.00","5.72M","-1.09%"
"06/06/2023","1,391.40","1,380.40","1,399.00","1,377.44","4.88M","0.68%"
"05/06/2023","1,382.00","1,375.40","1,386.00","1,373.01","3.23M","1.05%"
"02/06/2023","1,367.60","1,346.00","1,369.60","1,336.58","4.68M","1.48%"
"01/06/2023","1,347.60","1,355.00","1,357.60","1,332.80","3.96M","0.09%"
"31/05/2023","1,346.40","1,355.40","1,363.40","1,346.40","25.39M","-1.79%"
"30/05/2023","1,371.00","1,399.20","1,408.20","1,365.80","4.49M","-1.52%"
"26/05/2023","1,392.20","1,384.00","1,400.80","1,380.40","8.57M","0.55%"
"25/05/2023","1,384.60","1,407.00","1,412.80","1,382.60","3.64M","-1.72%"
"24/05/2023","1,408.80","1,422.20","1,423.80","1,402.80","4.53M","-1.50%"
"23/05/2023","1,430.20","1,420.00","1,436.20","1,412.60","3.58M","0.31%"
"22/05/2023","1,425.80","1,425.00","1,437.00","1,419.80","5.13M","0.14%"
"19/05/2023","1,423.80","1,423.20","1,430.17","1,410.40","5.02M","0.00%"
"18/05/2023","1,423.80","1,430.60","1,442.40","1,419.60","21.72M","-1.29%"
"17/05/2023","1,442.40","1,466.40","1,473.00","1,439.60","3.31M","-1.61%"
"16/05/2023","1,466.00","1,470.20","1,474.40","1,456.00","6.90M","-0.24%"
"15/05/2023","1,469.60","1,476.80","1,481.00","1,459.90","2.57M","-0.04%"
"12/05/2023","1,470.20","1,450.40","1,485.80","1,446.72","4.20M","1.76%"
"11/05/2023","1,444.80","1,450.80","1,461.10","1,437.20","4.12M","0.58%"
"10/05/2023","1,436.40","1,439.60","1,448.00","1,434.60","5.21M","-0.68%"
"09/05/2023","1,446.20","1,459.00","1,465.60","1,424.60","5.31M","-1.11%"
"05/05/2023","1,462.40","1,463.60","1,470.20","1,444.20","3.45M","-0.26%"
"04/05/2023","1,466.20","1,454.40","1,473.60","1,453.00","7.25M","-0.30%"
"03/05/2023","1,470.60","1,457.40","1,475.80","1,456.41","8.46M","1.06%"
"02/05/2023","1,455.20","1,446.40","1,467.00","1,439.80","20.55M","0.99%"
"28/04/2023","1,441.00","1,426.80","1,447.60","1,426.80","5.48M","0.28%"
"27/04/2023","1,437.00","1,447.40","1,477.00","1,432.00","5.48M","-0.36%"
"26/04/2023","1,442.20","1,494.00","1,521.20","1,437.00","8.55M","-3.87%"
"25/04/2023","1,500.20","1,466.40","1,503.00","1,461.69","5.40M","1.78%"
"24/04/2023","1,474.00","1,477.20","1,481.60","1,468.60","5.51M","0.19%"
"21/04/2023","1,471.20","1,463.40","1,486.00","1,463.40","5.16M","0.03%"
"20/04/2023","1,470.80","1,477.80","1,482.20","1,467.00","3.82M","-1.01%"
"19/04/2023","1,485.80","1,479.60","1,491.40","1,476.20","2.97M","0.12%"
"18/04/2023","1,484.00","1,517.80","1,517.80","1,484.00","5.40M","-1.84%"
"17/04/2023","1,511.80","1,520.20","1,522.78","1,504.00","4.40M","-0.21%"
"14/04/2023","1,515.00","1,528.40","1,533.60","1,513.40","13.44M","-0.49%"
"13/04/2023","1,522.40","1,515.00","1,524.40","1,507.00","9.76M","0.65%"
"12/04/2023","1,512.60","1,507.40","1,524.40","1,503.00","4.74M","0.41%"
"11/04/2023","1,506.40","1,517.00","1,527.60","1,501.20","15.06M","-1.09%"
"06/04/2023","1,523.00","1,495.00","1,531.00","1,492.60","6.45M","2.41%"
"05/04/2023","1,487.20","1,450.20","1,488.80","1,445.20","5.72M","2.64%"
"04/04/2023","1,449.00","1,448.20","1,463.43","1,443.80","10.21M","0.67%"
"03/04/2023","1,439.40","1,434.20","1,442.40","1,427.40","8.70M","0.73%"
"31/03/2023","1,429.00","1,425.00","1,438.40","1,419.60","8.11M","0.63%"
"30/03/2023","1,420.00","1,416.40","1,421.60","1,412.60","2.48M","-0.04%"
"29/03/2023","1,420.60","1,420.00","1,426.00","1,413.00","3.35M","-0.03%"
"28/03/2023","1,421.00","1,433.80","1,436.60","1,417.40","8.00M","-0.18%"
"27/03/2023","1,423.60","1,416.20","1,426.40","1,414.05","3.87M","1.60%"
"24/03/2023","1,401.20","1,428.80","1,429.86","1,379.00","10.26M","-2.55%"
"23/03/2023","1,437.80","1,434.80","1,449.00","1,429.00","3.91M","-0.03%"
"22/03/2023","1,438.20","1,424.40","1,439.60","1,420.20","3.46M","0.71%"
"21/03/2023","1,428.00","1,427.60","1,435.00","1,419.40","3.09M","0.99%"
"20/03/2023","1,414.00","1,392.20","1,418.40","1,392.00","6.56M","0.94%"
"17/03/2023","1,400.80","1,410.00","1,412.20","1,390.80","18.57M","0.99%"
"16/03/2023","1,387.00","1,391.20","1,394.80","1,376.40","10.25M","0.41%"
"15/03/2023","1,381.40","1,383.60","1,393.20","1,378.20","13.00M","0.07%"
"14/03/2023","1,380.40","1,381.40","1,391.60","1,371.60","5.35M","0.28%"
"13/03/2023","1,376.60","1,400.00","1,400.00","1,375.20","7.68M","-1.57%"
"10/03/2023","1,398.60","1,408.80","1,413.40","1,389.00","4.55M","-0.96%"
"09/03/2023","1,412.20","1,418.40","1,429.00","1,411.40","3.56M","-0.72%"
"08/03/2023","1,422.40","1,435.40","1,436.80","1,422.40","3.91M","-1.35%"
"07/03/2023","1,441.80","1,432.60","1,452.60","1,428.80","5.64M","0.17%"
"06/03/2023","1,439.40","1,436.80","1,443.40","1,431.00","9.40M","-0.19%"
"03/03/2023","1,442.20","1,439.80","1,444.20","1,427.80","4.34M","0.24%"
"02/03/2023","1,438.80","1,422.80","1,438.80","1,419.80","9.02M","1.18%"
"01/03/2023","1,422.00","1,414.80","1,429.80","1,406.80","5.52M","-0.24%"
"28/02/2023","1,425.40","1,435.60","1,443.40","1,418.60","8.62M","-1.71%"
"27/02/2023","1,450.20","1,446.00","1,465.80","1,444.40","3.52M","0.36%"
"24/02/2023","1,445.00","1,458.80","1,464.50","1,442.20","4.39M","-0.86%"
"23/02/2023","1,457.60","1,467.80","1,480.00","1,453.20","4.33M","-1.63%"
"22/02/2023","1,481.80","1,484.00","1,486.20","1,473.80","3.98M","0.00%"
"21/02/2023","1,481.80","1,472.60","1,491.40","1,465.80","19.51M","0.46%"
"20/02/2023","1,475.00","1,488.00","1,492.40","1,473.40","19.24M","-0.62%"
"17/02/2023","1,484.20","1,449.20","1,484.20","1,449.20","8.75M","2.01%"
"16/02/2023","1,455.00","1,461.00","1,476.40","1,451.20","4.69M","-0.12%"
