"Date","Price","Open","High","Low","Vol.","Change %"
"27/02/2023","1,251.50","1,225.50","1,256.00","1,225.50","8.90M","2.88%"
"24/02/2023","1,216.50","1,235.00","1,241.00","1,211.00","5.39M","-1.82%"
"23/02/2023","1,239.00","1,242.50","1,250.50","1,232.50","6.14M","-0.36%"
"22/02/2023","1,243.50","1,247.00","1,247.00","1,219.50","5.27M","-1.03%"
"21/02/2023","1,256.50","1,285.00","1,285.50","1,251.50","14.67M","-3.12%"
"20/02/2023","1,297.00","1,316.00","1,316.72","1,292.50","2.90M","-0.73%"
"17/02/2023","1,306.50","1,300.50","1,309.50","1,288.00","7.49M","-0.27%"
"16/02/2023","1,310.00","1,318.50","1,330.50","1,295.00","4.46M","0.46%"
"15/02/2023","1,304.00","1,281.50","1,313.00","1,274.50","2.74M","1.60%"
"14/02/2023","1,283.50","1,300.00","1,300.00","1,277.50","5.28M","-0.77%"
"13/02/2023","1,293.50","1,280.00","1,294.50","1,274.00","2.80M","1.17%"
"10/02/2023","1,278.50","1,286.00","1,290.29","1,263.50","6.70M","-1.43%"
"09/02/2023","1,297.00","1,306.50","1,312.43","1,293.50","7.35M","0.27%"
"08/02/2023","1,293.50","1,313.50","1,314.22","1,292.50","4.83M","-0.46%"
"07/02/2023","1,299.50","1,300.00","1,306.01","1,286.50","4.90M","0.78%"
"06/02/2023","1,289.50","1,325.00","1,329.00","1,287.00","6.59M","-4.76%"
"03/02/2023","1,354.00","1,352.50","1,357.50","1,346.75","7.24M","0.59%"
"02/02/2023","1,346.00","1,353.00","1,369.50","1,344.50","3.59M","0.04%"
"01/02/2023","1,345.50","1,343.50","1,347.00","1,328.50","3.08M","0.45%"
"31/01/2023","1,339.50","1,338.00","1,346.00","1,324.50","3.88M","-0.22%"
"30/01/2023","1,342.50","1,349.00","1,357.50","1,326.00","4.13M","-2.11%"
"27/01/2023","1,371.50","1,373.50","1,381.50","1,357.50","3.77M","0.00%"
"26/01/2023","1,371.50","1,366.00","1,381.50","1,359.00","4.89M","2.81%"
"25/01/2023","1,334.00","1,315.00","1,334.00","1,308.50","4.26M","1.64%"
"24/01/2023","1,312.50","1,303.00","1,316.50","1,295.00","3.63M","1.00%"
"23/01/2023","1,299.50","1,304.00","1,309.50","1,292.00","5.67M","-0.19%"
"20/01/2023","1,302.00","1,313.00","1,317.00","1,286.50","4.38M","1.48%"
"19/01/2023","1,283.00","1,303.00","1,305.00","1,283.00","4.01M","-2.17%"
"18/01/2023","1,311.50","1,303.00","1,324.00","1,301.50","3.09M","-0.64%"
"17/01/2023","1,320.00","1,312.00","1,330.00","1,307.00","8.10M","-0.41%"
"16/01/2023","1,325.50","1,331.00","1,336.00","1,299.50","3.82M","2.51%"
"13/01/2023","1,293.00","1,275.00","1,299.00","1,268.50","5.77M","1.61%"
"12/01/2023","1,272.50","1,251.00","1,287.50","1,249.00","5.02M","2.25%"
"11/01/2023","1,244.50","1,244.00","1,261.50","1,241.00","9.67M","0.28%"
"10/01/2023","1,241.00","1,241.00","1,242.72","1,227.50","3.55M","-0.48%"
"09/01/2023","1,247.00","1,240.00","1,257.00","1,238.00","4.79M","1.38%"
"06/01/2023","1,230.00","1,228.50","1,236.50","1,209.00","4.50M","1.07%"
"05/01/2023","1,217.00","1,202.00","1,249.00","1,197.00","6.55M","-1.82%"
"04/01/2023","1,239.50","1,187.00","1,239.50","1,187.00","4.75M","5.31%"
"03/01/2023","1,177.00","1,140.00","1,182.00","1,140.00","6.38M","4.39%"
"30/12/2022","1,127.50","1,132.50","1,149.00","1,127.50","2.36M","-0.57%"
"29/12/2022","1,134.00","1,114.50","1,137.50","1,106.00","2.85M","0.93%"
"28/12/2022","1,123.50","1,125.50","1,152.25","1,122.00","4.21M","0.63%"
"23/12/2022","1,116.50","1,107.50","1,120.00","1,091.00","2.71M","1.55%"
"22/12/2022","1,099.50","1,097.50","1,112.38","1,094.50","4.64M","0.64%"
"21/12/2022","1,092.50","1,072.00","1,100.92","1,063.00","6.57M","3.26%"
"20/12/2022","1,058.00","1,051.50","1,064.50","1,039.00","3.46M","0.28%"
"19/12/2022","1,055.00","1,056.50","1,062.00","1,049.50","3.73M","-0.14%"
"16/12/2022","1,056.50","1,062.50","1,068.50","1,043.50","9.98M","-0.84%"
"15/12/2022","1,065.50","1,083.00","1,089.00","1,058.00","4.49M","-2.25%"
"14/12/2022","1,090.00","1,094.00","1,101.50","1,087.00","9.79M","-0.91%"
"13/12/2022","1,100.00","1,076.50","1,112.50","1,074.00","9.89M","3.68%"
"12/12/2022","1,061.00","1,085.00","1,088.00","1,053.50","4.30M","-2.71%"
"09/12/2022","1,090.50","1,063.00","1,094.50","1,061.50","6.12M","3.02%"
"08/12/2022","1,058.50","1,078.50","1,086.00","1,058.50","3.69M","0.33%"
"07/12/2022","1,055.00","1,063.50","1,072.00","1,043.50","4.96M","-2.00%"
"06/12/2022","1,076.50","1,084.00","1,091.00","1,074.50","6.24M","-0.83%"
"05/12/2022","1,085.50","1,054.50","1,115.00","1,048.50","9.02M","5.34%"
